threshold,precision,recall,f1,tn,fp,fn,tp
-0.2452380008746945,0.004742666432460917,0.9,0.00943561069369212,22766,5666,3,27
-0.24438162078790202,0.004861361181130717,0.9,0.009670487106017192,22905,5527,3,27
-0.24350764962086452,0.004986149584487534,0.9,0.009917355371900827,23044,5388,3,27
-0.242608499523518,0.00511654349061967,0.9,0.010175240248728096,23182,5250,3,27
-0.24170609101752158,0.005254963020630596,0.9,0.01044891640866873,23321,5111,3,27
-0.24062993296922927,0.0054010802160432084,0.9,0.010737721216941738,23460,4972,3,27
-0.23966522881165309,0.005554412672289653,0.9,0.011040686976078512,23598,4834,3,27
-0.23858559283815925,0.005717916137229987,0.9,0.011363636363636364,23737,4695,3,27
-0.23749447597342674,0.005891337551821951,0.9,0.011706048124864513,23876,4556,3,27
-0.236475881303111,0.006074240719910012,0.9,0.012067039106145252,24014,4418,3,27
-0.2353896219834279,0.006270320483046911,0.9,0.012453874538745387,24153,4279,3,27
-0.23405820133117505,0.0064794816414686825,0.9,0.012866333095067906,24292,4140,3,27
-0.23274733404896508,0.006701414743112435,0.9,0.013303769401330377,24430,4002,3,27
-0.2314800071113946,0.006940874035989717,0.9,0.013775510204081633,24569,3863,3,27
-0.23017470667244544,0.007196162046908316,0.9,0.014278159703860392,24707,3725,3,27
-0.2288046197378514,0.00747301411569333,0.9,0.014822948119681581,24846,3586,3,27
-0.22748059724140476,0.007772020725388601,0.9,0.015410958904109588,24985,3447,3,27
-0.22607744716886224,0.008093525179856115,0.9,0.016042780748663103,25123,3309,3,27
-0.22432847661884858,0.008445417578980294,0.9,0.01673380849085838,25262,3170,3,27
-0.22262994075310544,0.00882930019620667,0.9,0.017487046632124352,25401,3031,3,27
-0.22082532041543138,0.009246575342465754,0.9,0.01830508474576271,25539,2893,3,27
-0.21853938487865043,0.009708737864077669,0.9,0.0192102454642476,25678,2754,3,27
-0.21627148649614425,0.010219530658591975,0.9,0.020209580838323353,25817,2615,3,27
-0.21404147488779932,0.009984025559105431,0.8333333333333334,0.01973164956590371,25953,2479,5,25
-0.21213591548967123,0.010570824524312896,0.8333333333333334,0.020876826722338204,26092,2340,5,25
-0.2096716967406446,0.011230907457322551,0.8333333333333334,0.022163120567375887,26231,2201,5,25
-0.20675282326681185,0.011973180076628353,0.8333333333333334,0.023607176581680833,26369,2063,5,25
-0.20374042511974114,0.012827090815802977,0.8333333333333334,0.025265285497726123,26508,1924,5,25
-0.20010200885197071,0.013812154696132596,0.8333333333333334,0.02717391304347826,26647,1785,5,25
-0.1964462361796212,0.014952153110047847,0.8333333333333334,0.02937720329024677,26785,1647,5,25
-0.1922040305320138,0.016307893020221786,0.8333333333333334,0.03198976327575176,26924,1508,5,25
-0.18716886274099515,0.017934002869440458,0.8333333333333334,0.0351123595505618,27063,1369,5,25
-0.18174307770723006,0.019904458598726114,0.8333333333333334,0.038880248833592534,27201,1231,5,25
-0.17456078358366445,0.021486123545210387,0.8,0.041848299912816043,27339,1093,6,24
-0.16609675973561538,0.022494887525562373,0.7333333333333333,0.04365079365079365,27476,956,8,22
-0.15611393103138854,0.02619047619047619,0.7333333333333333,0.05057471264367816,27614,818,8,22
-0.14556781021753748,0.03138373751783167,0.7333333333333333,0.060191518467852256,27753,679,8,22
-0.1328187112231533,0.03914590747330961,0.7333333333333333,0.07432432432432433,27892,540,8,22
-0.11597139024120766,0.04481132075471698,0.6333333333333333,0.08370044052863436,28027,405,11,19
-0.09448468289162279,0.056140350877192984,0.5333333333333333,0.10158730158730159,28163,269,14,16
-0.08867585949511464,0.0622568093385214,0.5333333333333333,0.11149825783972125,28191,241,14,16
-0.08616051481205052,0.06611570247933884,0.5333333333333333,0.11764705882352941,28206,226,14,16
-0.08334691295637559,0.06578947368421052,0.5,0.11627906976744186,28219,213,15,15
-0.08133747063250062,0.07009345794392523,0.5,0.12295081967213115,28233,199,15,15
-0.07828122016878937,0.075,0.5,0.13043478260869565,28247,185,15,15
-0.07511853533816662,0.07567567567567568,0.4666666666666667,0.13023255813953488,28261,171,16,14
-0.06918256180823645,0.08187134502923976,0.4666666666666667,0.13930348258706468,28275,157,16,14
-0.0653471193079242,0.08917197452229299,0.4666666666666667,0.1497326203208556,28289,143,16,14
-0.061619282082609965,0.0979020979020979,0.4666666666666667,0.16184971098265896,28303,129,16,14
-0.058067911502644336,0.10852713178294573,0.4666666666666667,0.1761006289308176,28317,115,16,14
-0.05340868535460403,0.11403508771929824,0.43333333333333335,0.18055555555555555,28331,101,17,13
-0.04883854801176202,0.13,0.43333333333333335,0.2,28345,87,17,13
-0.04304038438107002,0.1511627906976744,0.43333333333333335,0.22413793103448276,28359,73,17,13
-0.03630260087624599,0.18055555555555555,0.43333333333333335,0.2549019607843137,28373,59,17,13
-0.02889983803661198,0.21052631578947367,0.4,0.27586206896551724,28387,45,18,12
-0.017645375320677923,0.27906976744186046,0.4,0.3287671232876712,28401,31,18,12
-0.002181979459371669,0.3448275862068966,0.3333333333333333,0.3389830508474576,28413,19,20,10
